"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","3861","test_create_order_with_authorization","tests","2026-05-23","passed","2026-05-23","TestCreateOrder","test_create_order","",""
"","223","test_create_duplicate_user_forbidden","tests","2026-05-23","passed","2026-05-23","TestCreateUser","test_create_user","",""
"","435","test_create_order_with_ingredients","tests","2026-05-23","passed","2026-05-23","TestCreateOrder","test_create_order","",""
"","295","test_create_unique_user_success","tests","2026-05-23","passed","2026-05-23","TestCreateUser","test_create_user","",""
"","194","test_create_user_missing_field_forbidden[name]","tests","2026-05-23","passed","2026-05-23","TestCreateUser","test_create_user","",""
"","445","test_create_order_without_authorization","tests","2026-05-23","passed","2026-05-23","TestCreateOrder","test_create_order","",""
"","221","test_create_order_invalid_ingredient_hash_server_error","tests","2026-05-23","passed","2026-05-23","TestCreateOrder","test_create_order","",""
"","219","test_login_with_incorrect_credentials_unauthorized","tests","2026-05-23","passed","2026-05-23","TestLoginUser","test_login_user","",""
"","285","test_login_existing_user_success","tests","2026-05-23","passed","2026-05-23","TestLoginUser","test_login_user","",""
"","218","test_create_user_missing_field_forbidden[email]","tests","2026-05-23","passed","2026-05-23","TestCreateUser","test_create_user","",""
"","231","test_create_user_missing_field_forbidden[password]","tests","2026-05-23","passed","2026-05-23","TestCreateUser","test_create_user","",""
"","230","test_create_order_without_ingredients_bad_request","tests","2026-05-23","passed","2026-05-23","TestCreateOrder","test_create_order","",""
